ID;GENERO;CASADO;EDAD;GRADUADO;PROFESION;EXPERIENCIA LABORAL;GASTO DEL CLIENTE;TAMAÑO FAMILIA;CATEGORIA ANONIMA DEL CLIENTE
458989;Femenino;Si;36;Si;Ingenieria;0.0;Bajo;1.0;Cat_6
458994;Masculino;Si;37;Si;Enfermeria;8.0;Medio;4.0;Cat_6
458996;Femenino;Si;69;No;Tens;0.0;Bajo;1.0;Cat_6
459000;Masculino;Si;59;No;Ejecutivo;11.0;Alto;2.0;Cat_6
459001;Femenino;No;19;No;Marketing;1.0;Bajo;4.0;Cat_6
459003;Masculino;Si;47;Si;Doctor;0.0;Alto;5.0;Cat_4
459005;Masculino;Si;61;Si;Doctor;5.0;Bajo;3.0;Cat_6
459008;Femenino;Si;47;Si;Artista;1.0;Medio;3.0;Cat_6
459013;Masculino;Si;50;Si;Artista;2.0;Medio;4.0;Cat_6
459014;Masculino;No;19;No;Enfermeria;0.0;Bajo;4.0;Cat_6
459015;Masculino;No;22;No;Enfermeria;0.0;Bajo;3.0;Cat_6
459016;Femenino;No;22;No;Enfermeria;0.0;Bajo;6.0;Cat_6
459024;Masculino;Si;50;Si;Artista;1.0;Medio;5.0;Cat_6
459026;Masculino;No;27;No;Enfermeria;8.0;Bajo;3.0;Cat_3
459032;Masculino;No;18;No;Doctor;0.0;Bajo;3.0;Cat_6
459033;Femenino;Si;61;Si;Artista;0.0;Bajo;1.0;Cat_6
459036;Femenino;Si;20;Si;Abogado;1.0;Medio;3.0;Cat_3
459039;Masculino;Si;45;Si;Artista;1.0;Medio;2.0;Cat_6
459041;Masculino;Si;55;Si;Artista;8.0;Bajo;1.0;Cat_6
459045;Femenino;Si;88;Si;Abogado;1.0;Medio;4.0;Cat_6
459056;Masculino;Si;63;No;Ejecutivo;1.0;Alto;3.0;Cat_6
459057;Masculino;Si;69;No;Abogado;1.0;Alto;Tens;Cat_6
459058;Masculino;No;42;Si;Artista;0.0;Bajo;4.0;Cat_3
459059;Masculino;Si;79;No;Ejecutivo;1.0;Alto;2.0;Cat_6
459061;Femenino;Si;35;Si;Enfermeria;9.0;Alto;3.0;Cat_6
459064;Masculino;Si;27;No;Ejecutivo;5.0;Alto;4.0;Cat_6
459065;Masculino;Si;52;Si;Ingenieria;1.0;Bajo;2.0;Cat_6
459074;Femenino;No;29;Si;Enfermeria;0.0;Bajo;4.0;Cat_4
459077;Femenino;Si;79;No;Abogado;1.0;Alto;2.0;Cat_6
459079;Masculino;Si;87;Si;Abogado;1.0;Alto;2.0;Cat_6
459080;Masculino;Si;89;No;Abogado;1.0;Bajo;2.0;Cat_6
459083;Masculino;Si;63;Si;Artista;9.0;Medio;3.0;Cat_4
459090;Masculino;No;31;No;Artista;1.0;Bajo;2.0;Cat_6
